236;MAFIL;35
237;MARIQUINA;35
238;PAILLACO;35
239;PANGUIPULLI;35
240;LA UNION;36
241;FUTRONO;36
242;LAGO RANCO;36
243;RIO BUENO;36
244;PUERTO MONTT;37
245;CALBUCO;37
246;COCHAMO;37
247;FRESIA;37
248;FRUTILLAR;37
249;LOS MUERMOS;37
250;LLANQUIHUE;37
251;MAULLIN;37
252;PUERTO VARAS;37
253;CASTRO;38
254;ANCUD;38
255;CHONCHI;38
256;CURACO DE VELEZ;38
257;DALCAHUE;38
258;PUQUELDON;38
259;QUEILEN;38
260;QUELLON;38
261;QUEMCHI;38
262;QUINCHAO;38
263;OSORNO;39
264;PUERTO OCTAY;39
265;PURRANQUE;39
266;PUYEHUE;39
267;RIO NEGRO;39
268;SAN JUAN DE LA COSTA;39
269;SAN PABLO;39
270;CHAITEN;40
271;FUTALEUFU;40
272;HUALAIHUE;40
273;PALENA;40
274;COIHAIQUE;41
275;LAGO VERDE;41
276;AISEN;42
277;CISNES;42
278;GUAITECAS;42
279;COCHRANE;43
280;OHIGGINS;43
281;TORTEL;43
282;CHILE CHICO;44
283;RIO IBANEZ;44
284;PUNTA ARENAS;45
285;LAGUNA BLANCA;45
286;RIO VERDE;45
287;SAN GREGORIO;45
288;CABO DE HORNOS;46
289;ANTARTICA;46
290;PORVENIR;47
291;PRIMAVERA;47
292;TIMAUKEL;47
293;NATALES;48
294;TORRES DEL PAINE;48
295;SANTIAGO;49
296;CERRILLOS;49
297;CERRO NAVIA;49
298;CONCHALI;49
299;EL BOSQUE;49
300;ESTACION CENTRAL;49
301;HUECHURABA;49
302;INDEPENDENCIA;49
303;LA CISTERNA;49
304;LA FLORIDA;49
305;LA GRANJA;49
306;LA PINTANA;49
307;LA REINA;49
308;LAS CONDES;49
309;LO BARNECHEA;49
310;LO ESPEJO;49
311;LO PRADO;49
312;MACUL;49
313;MAIPU;49
314;NUNOA;49
315;PEDRO AGUIRRE CERDA;49
316;PENALOLEN;49
317;PROVIDENCIA;49
318;PUDAHUEL;49
319;QUILICURA;49
320;QUINTA NORMAL;49
321;RECOLETA;49
322;RENCA;49
323;SAN JOAQUIN;49
324;SAN MIGUEL;49
325;SAN RAMON;49
326;VITACURA;49
