1;ARICA Y PARINACOTA;XV;1
2;TARAPACA;I;2
3;ANTOFAGASTA;II;3
4;ATACAMA;III;4
5;COQUIMBO;IV;5
6;VALPARAISO;V;6
7;DEL LIBERTADOR GRAL. BERNARDO OHIGGINS;VI;8
8;DEL MAULE;VII;8
9;DEL BIOBIO;VIII;10
10;DE LA ARAUCANIA;IX;11
11;DE LOS RIOS;XIV;12
12;DE LOS LAGOS;X;13
13;AISEN DEL GRAL. CARLOS IBANEZ DEL CAMPO;XI;14
14;MAGALLANES Y DE LA ANTARTICA CHILENA;XII;15
15;METROPOLITANA DE SANTIAGO;RM;7
