1;5,504167;5,245000
2;4,320833;4,911667
3;6,052500;5,810000
4;5,205000;5,200000
5;4,821667;5,046667
6;5,600000;5,441667
7;4,644167;4,605000
8;4,348333;4,016666
9;3,235833;3,131666
10;4,384167;4,208333
11;4,180833;4,258333
12;6,157500;5,880001
13;5,280000;4,770000
14;4,896667;4,616667
15;5,357500;4,940000
16;4,536667;4,613333
17;4,230834;4,013333
18;3,135000;2,700000
19;4,591667;4,606667
20;3,432500;3,560000
21;4,370833;4,006667
22;5,355000;5,120000
23;3,405000;3,633333
24;3,855000;3,270000
25;3,422500;3,223333
26;4,437500;4,013333
27;3,273333;2,966666
28;3,838334;3,920000
29;4,351667;4,500000
30;3,770000;3,980000
31;3,803334;4,250000
32;4,354167;4,180000
33;4,085834;4,126667
34;5,535833;4,853333
35;4,273333;3,273333
36;3,925000;3,410000
37;5,990000;5,080000
38;5,080833;4,876667
39;4,810000;4,480000
40;4,309167;4,196667
41;3,928333;4,276667
42;3,365000;3,930000
43;3,945000;3,886667
44;4,398333;4,080000
45;4,177500;4,303333
46;4,095000;4,233334
47;3,898334;3,686666
48;5,349167;4,860000
49;4,186666;4,096667
50;4,040833;3,900000
51;5,590833;5,110000
52;4,383333;4,000000
53;5,557500;5,156667
54;5,535000;5,366667
55;4,823333;3,940000
56;5,132500;4,780000
57;4,158333;4,430000
58;3,788333;3,713333
59;2,833333;3,500000
60;3,800000;3,416667
61;5,870000;5,916667
62;3,455833;3,866667
63;3,915000;3,820000
64;4,300000;4,386667
65;4,087500;3,833333
66;6,042500;5,343333
67;4,520833;4,306667
68;4,240833;4,100000
69;6,115000;5,663333
70;5,060833;4,783333
71;4,805000;4,456667
72;4,314167;4,220000
73;3,875000;3,913333
74;3,340000;3,620000
75;3,991667;4,223333
76;3,465000;3,493333
77;6,820000;6,160000
78;5,225000;5,316667
79;4,875000;4,783334
80;5,715000;5,403333
81;5,085000;5,030000
82;4,810000;4,480000
83;3,416667;2,666667
84;3,198333;3,170000
85;4,142500;4,140000
86;4,523333;4,370000
87;4,977500;4,563334
